component,bagofwords
com.amaze.filemanager.activities.AboutActivity,Override public boolean Options Item Selected Menu item switch case android home Back Pressed break return super void Click View relative layout version Count String text Resources string easter title snackbar null Shown Text else Snackbar make LENGTH SHORT show Shared Pref edit PREF STUDIO Integer parse apply issues open REPO ISSUES changelog CHANGELOG licenses Libs Builder libs with Libraries commonscompress apachemina volley Activity Title libraries About Icon true Version Name Code false Description about amaze Special License Theme Simple LIGHT Style DARK TOOLBAR BLACK style Black start this view author plus AUTHOR PLUS developer github DEVELOPER GITHUB translate TRANSLATE community COMMUNITY rate RATE donate PAYPAL 
com.amaze.filemanager.activities.AboutActivity,Override public boolean Options Item Selected Menu item switch case android home Back Pressed break return super void Click View relative layout version Count String text Resources string easter title snackbar null Shown Text else Snackbar make LENGTH SHORT show Shared Pref edit PREF STUDIO Integer parse apply issues open REPO ISSUES changelog CHANGELOG licenses Libs Builder libs with Libraries commonscompress apachemina volley Activity Title libraries About Icon true Version Name Code false Description about amaze Special License Theme Simple LIGHT Style DARK TOOLBAR BLACK style Black start this view author plus AUTHOR PLUS developer github DEVELOPER GITHUB translate TRANSLATE community COMMUNITY rate RATE donate billing Billing 
com.amaze.filemanager.activities.MainActivity,Called when activity first created Override public void Create final Bundle saved Instance State Returns available Cards system include emulated Warning Hack Based Android source code version Because there standard TODO Test future versions return paths synchronized Array List String Storage Directories External System getenv EXTERNAL STORAGE Secondary Storages SECONDARY Emulated Target EMULATED TARGET Text Utils Empty File DEFAULT FALLBACK PATH exists else Environment Directory Absolute Path User Build VERSION CODES JELLY BEAN folders SEPARATOR split last Folder length boolean Digit false Integer value true catch Number Format Exception ignored separator Separator Collections check Permission clear KITKAT strings Paths Activity this contains Files Root Explorer Drive null Device Connected PREFIX Back Pressed drawer Locked Open close Fragment fragment Frame Appbar Search View Shown hide instanceof floating Action Button Expanded collapse Current Main Compressed compressed Mode openzip finish Transaction Support Manager begin Custom Animations anim slide bottom remove commit support Invalidate Options Menu Visibility VISIBLE show Server Hybrid file UNKNOWN generate Prefs invalidate Paste Item paste Helper Visible exit android transaction Arguments replace content frame Something Selected Stack tabt Allowing Loss appbar Title zippath menu Inflater inflate extra super Prepare find view search name Boolean PREFERENCE VIEW Resources gridview listview LIST Bottom update results SEARCH TEXT count Click Listener indicator layout home history sethome sort SHOW HIDDENFILES hiddenitems extract buttonbarframe Apps Process Viewer Layout GONE dsort sortby reset Configuration Changed Resume material Dialog Showing refresh Drawer deselect Everything Intent Filter ACTION MEDIA MOUNTED UNMOUNTED Data Scheme Content Resolver SCHEME register Receiver main Notification receiver INTENT FILTER GENERAL DEVICE ATTACHED DETACHED Context context intent equals Singleton Down Code Event event KEYCODE MENU updatepaths animate translation Interpolator Decelerate start bundle Paging Enabled Pager parent storage Name Lower Case Execute sdcard method need components colors based link current variables should initialised before calling Views Color Drawable Background LOLLIPOP Window Status COLORED NAVIGATION Navigation Preference WATCH Tint tint Accent fabs Ripple white translucent Duration Smoke Screen Collapsed reveal FOLDER cloud CLOUD copy Clipboard clipboard Service CLIPBOARD SERVICE Plain copied Primary rename Bookmark title data Books Rename renamedialog Extra loadlist FAILED Parcelable failed Failed Operation Categories AUTHENTICATOR GDRIVE Cloud Rail Authentication Response Processes PROCESS VIEWER edit Servers smbdailog Sftp sftp parse userinfo Info address Host Port username index substring Password keypair utils Handler Private password sftpdialog Shows that goes from lowest part transparent covers Connection Null Nullable encrypted oldname delete Hidden Added Database Removed From History HISTORY refreshdrawer BOOKMARKS Cleared Table modify oldpath newname query Swipe Refresh Refreshing Post Completed Progress Update Result Cancelled reload Elements service Entry Toast make connection LENGTH LONG please wait args ARGS LOADER ordinal Loader loader REQUEST Started destroy Plugin print Trace error plugin Cursor with Appended Contract PROVIDER AUTHORITY keys secret projection COLUMN CLIENT SECRET switch case Uris break DROPBOX ONEDRIVE KEYS Entries size Type default undefined Finished restart Async Task RUNNING execute Reset 
com.amaze.filemanager.activities.DatabaseViewerActivity,Override public void Create Bundle saved Instance State boolean Prepare Options Menu menu toolbar Title path File Name return super Item Selected item android home Back Pressed 
com.amaze.filemanager.activities.PreferencesActivity,Override public void Create Bundle saved Instance State super Content View layout prefsfrag Toolbar toolbar find invalidate Recents Color Icon Support Action Display Options android support DISPLAY HOME SHOW TITLE null selected Item CURRENT FRAG OPEN else Intent Extras Back Pressed current Fragment instanceof Pref return START PREFERENCE restart Activity this Preferences Main class ACTION MAIN CATEGORY LAUNCHER finish boolean Selected Menu item switch case home true final enter anim fade exit activity override Pending Transition false This hack each List that loses state specifically scrolled position when user accesses another prevent saves restored returns cannot normal functions because they only called kills fragment https stackoverflow better explanation Parcelable destroyed list fragments Parcelables link Restart primary Helper Primary Current Manager Task Description task Amaze Bitmap Drawable Resources mipmap launcher Background System Tint tint Status Enabled Frame Layout Margin Params Group preferences Config config Margins Height colourednavigation Boolean Constants COLORED NAVIGATION Window window Flags FLAG DRAWS SYSTEM BACKGROUNDS clear TRANSLUCENT STATUS Utils Navigation BLACK Theme equals Decor color black elegantly destroys recreates different widgets texts change their inner states colors throw Null Pointer Exception When requires independent param question load string setting break COLORS title FOLDERS Folders sidebarfolders QUICKACCESS Quick Access sidebarquickaccess ADVANCEDSEARCH Advanced Search advanced search 
com.amaze.filemanager.activities.TextEditorActivity,Override public void Create Bundle saved Instance State super Theme equals DARK Window Decor View Background Color Utils this color holo dark background else BLACK android black Content layout search Layout find searchview toolbar Support Action primary Preference Helper Primary Current Main Activity current Build VERSION CODES LOLLIPOP Manager Task Description task Amaze Bitmap Drawable Resources mipmap launcher Edit Text Button prev down next close Changed Listener Click boolean Stack Boolean PREFERENCE TEXTEDITOR NEWSTACK Display Home Enabled KITKAT WATCH System Tint tint Status true Frame Margin Params Group texteditor Config config Margins Height colourednavigation COLORED NAVIGATION window Flags FLAG DRAWS SYSTEM BACKGROUNDS clear TRANSLUCENT STATUS Navigation Input fname scroll editscroll final Intent Data null File Editable Abstraction Toast make string file error LENGTH LONG show finish Title Typeface DEFAULT Default Mono MONOSPACE Original String ORIGINAL index INDEX MODIFIED Scroll MONOFONT load Pressed check Unsaved Changes Options Menu menu Inflater inflate return Prepare Item Visible Modified monofont Checked Selected item switch case home break details scheme SCHEME FILE hybrid Parcelable exists General Dialog Creation Properties Without Permissions obtainable info SHORT openwith openunknown false allowed reopen from Shown hide Search reveal default before Char Sequence char hash Code cancel clean Spans Timer purge schedule modified invalidate after editable execute circular animation start Radius Math Width Metrics metrics width Pixels Bottom Animator animator Animation create Circular Reveal Object Float alpha Interpolator Accelerate Decelerate Duration Visibility VISIBLE Adapter request Focus Method Service Context INPUT METHOD SERVICE Soft SHOW IMPLICIT GONE input From Token HIDE ONLY Entry Value nodes LIGHT YELLOW Integer Spanned SPAN INCLUSIVE LTGRAY highlight Line Spacing Extra size 
com.amaze.filemanager.asynchronous.services.ExtractServiceTest,Before public void throws Exception Shadow Environment External Storage State MEDIA MOUNTED Utils copy Class Loader Resource Stream slip File Output zipfile test archive rarfile tarfile tarballfile service Robolectric setup Service Extract class After tear Down Test Slip perform assert Equals Runtime application String string multiple invalid entries Toast Text Latest Normal Null 
com.amaze.filemanager.asynchronous.services.CopyService,Override public void Create super Application Context register Receiver receiver Intent Filter BROADCAST COPY CANCEL Start Command intent flags final start Bundle Root Explorer Boolean Extra ROOT EXPLORER false Array List Hybrid File Parcelable files SOURCES String target Path TARGET mode OPEN MODE Open Mode UNKNOWN ordinal boolean move MOVE shared Preferences Manager Default Shared accent Color Config Utils Provider Current User this Notify Notification System Service NOTIFICATION SERVICE START notification Main Activity class Action ACTION MAIN Flags FLAG ACTIVITY TASK INTENT PROCESS VIEWER true Pending pending custom Small Content Views Remote Package Name layout service small stop Broadcast UPDATE CURRENT Compat action drawable content copy white string Builder Constants CHANNEL NORMAL Icon Custom Heads Style Decorated Ongoing Metadata TYPE Foreground build init progress Halted Background execute return STICKY Progress Listener Destroy unregister context Handler Cancelled Binder 
com.amaze.filemanager.asynchronous.services.ZipService,Override public void Create register Receiver receiver Intent Filter COMPRESS BROADCAST CANCEL Start Command intent flags final start String Path Extra PATH Array List Hybrid File Parcelable base Files FILES Notify Manager Notification System Service Context NOTIFICATION SERVICE exists create catch Exception print Stack Trace shared Preferences Default Shared Application accent Color Config Utils Provider Current User this notification Main Activity class INTENT PROCESS VIEWER true Pending pending custom Small Content Views Remote Package Name layout service small stop Broadcast FLAG UPDATE CURRENT Compat Action action drawable grey string Builder Constants CHANNEL NORMAL Icon Custom Heads Style Decorated Ongoing Metadata TYPE Foreground build init super progress Halted async Task Compress Async execute return START STICKY Progress Listener context Handler Cancelled Binder Destroy unregister 
com.amaze.filemanager.asynchronous.services.AbstractProgressiveService,Override public Start Command Intent intent flags start return super abstract Progress Listener void progress Halted Notification Custom View Small notification service small true Text text time Remaining String string unknown transfer Rate Manager notify Builder build Resumed Math round Percent false Publish results link Datapoint Parcelable eventually Process Viewer Fragment param speed number bytes being copied Complete whether operation completed ongoing supported moment move files moved final publish Results long boolean Handler Cancelled Name File total Size Total written Written float Title Service Watcher Util state Interaction Interface STATE HALTED Formatter format this filename remaining Time Utils Timer else Constants COPY processing Ongoing Auto Completed Source Files Processed Returns Packages list which contains data transferred Method call synchronized avoid modifying handler Thread while Main Activity Runnable executing callbacks index size Decrypt Initializes views initial Views zero Bytes 
